open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,trades,taker_base_volume,taker_quote_volume,ignore
1767517740000,91297.42,91297.43000000,91297.42000000,91297.43,0.68185,1767517799999,62251.15107230,150,0.52453000,47888.24095790,0
1767517800000,91297.42,91297.43000000,91297.42000000,91297.43,1.4808,1767517859999,135193.22618910,229,0.66531000,60741.09315330,0
1767517860000,91297.43,91297.43000000,91289.77000000,91289.78,1.17138,1767517919999,106939.10471730,956,0.16464000,15030.64386660,0
1767517920000,91289.77,91289.78000000,91281.69000000,91281.69,2.00649,1767517979999,183170.03121640,441,0.11339000,10351.34815420,0
1767517980000,91281.7,91281.70000000,91281.69000000,91281.69,7.49168,1767518039999,683853.22542640,270,1.40872000,128590.35642400,0
1767518040000,91281.69,91333.73000000,91281.69000000,91333.73,14.63984,1767518099999,1336748.16965470,2540,13.15826000,1201463.78105680,0
1767518100000,91333.73,91364.45000000,91333.72000000,91341.25,20.12472,1767518159999,1838278.88229320,2681,19.38128000,1770363.25127390,0
1767518160000,91341.25,91373.38000000,91341.25000000,91368.62,30.95678,1767518219999,2828206.84116130,2534,28.83608000,2634439.56351350,0
1767518220000,91368.62,91436.77000000,91360.70000000,91436.77,60.4199,1767518279999,5521815.28285970,5822,53.07804000,4850824.23597640,0
1767518280000,91436.77,91436.77000000,91376.00000000,91376.0,31.92413,1767518339999,2918228.01021880,4070,18.40658000,1682484.32111460,0
1767518340000,91376.0,91413.89000000,91376.00000000,91413.88,3.89306,1767518399999,355774.39853500,2178,3.68793000,337027.49019860,0
1767518400000,91413.89,91425.35000000,91413.88000000,91425.34,1.284,1767518459999,117388.43021320,511,0.95713000,87504.62355550,0
1767518460000,91425.34,91446.00000000,91416.86000000,91416.86,10.71724,1767518519999,979987.40219500,2876,2.87153000,262560.70991050,0
1767518520000,91416.86,91440.95000000,91416.86000000,91423.01,11.54883,1767518579999,1055957.59920130,2850,8.22895000,752395.56721510,0
1767518580000,91423.0,91423.00000000,91383.52000000,91383.52,1.20174,1767518639999,109829.87922980,1624,0.05738000,5243.72417390,0
1767518640000,91383.52,91384.53000000,91323.06000000,91324.33,22.76039,1767518699999,2079604.03582740,1902,1.71148000,156387.41700710,0
1767518700000,91324.32,91324.33000000,91290.22000000,91290.22,38.87431,1767518759999,3549638.20380940,1879,1.18547000,108243.29761130,0
1767518760000,91290.23,91298.00000000,91264.54000000,91297.99,77.02873,1767518819999,7031667.20300750,3652,14.81550000,1352477.34976630,0
1767518820000,91297.99,91298.00000000,91271.79000000,91281.9,58.10364,1767518879999,5303756.01504020,4189,17.80451000,1625155.98202990,0
1767518880000,91281.89,91296.82000000,91281.89000000,91296.82,3.08411,1767518939999,281541.03842180,654,2.96192000,270387.03934610,0
1767518940000,91296.81,91314.36000000,91296.81000000,91314.36,4.87687,1767518999999,445270.50843320,768,4.72883000,431754.22969980,0
1767519000000,91314.36,91367.45000000,91314.36000000,91367.45,9.31225,1767519059999,850691.14531690,2749,4.74092000,433078.96048150,0
1767519060000,91367.45,91384.53000000,91362.00000000,91362.0,4.19302,1767519119999,383131.55421920,2940,2.63818000,241061.45961170,0
1767519120000,91362.01,91362.01000000,91362.00000000,91362.01,2.31863,1767519179999,211834.69342620,314,1.93662000,176933.49580620,0
1767519180000,91362.01,91377.75000000,91362.00000000,91377.74,2.3384,1767519239999,213652.53439460,833,2.21552000,202425.48000720,0
1767519240000,91377.75,91377.75000000,91371.31000000,91371.31,4.25146,1767519299999,388478.47130630,424,2.07825000,189899.40531240,0
1767519300000,91371.31,91371.31000000,91355.76000000,91355.77,5.09104,1767519359999,465127.40075940,890,2.39737000,219024.18257900,0
1767519360000,91355.76,91374.11000000,91355.76000000,91374.1,3.80839,1767519419999,347947.83130040,974,2.47300000,225936.71151820,0
1767519420000,91374.11,91374.11000000,91369.32000000,91369.32,3.23064,1767519479999,295192.52178730,639,1.66470000,152107.02416440,0
1767519480000,91369.32,91369.33000000,91369.32000000,91369.32,6.07411,1767519539999,554987.32820770,392,2.79025000,254943.27303250,0
1767519540000,91369.33,91404.00000000,91369.32000000,91404.0,12.232,1767519599999,1117911.75433330,2042,10.61456000,970079.60093010,0
1767519600000,91404.0,91430.05000000,91404.00000000,91404.0,10.67065,1767519659999,975484.61387250,2418,4.84666000,443061.18921700,0
1767519660000,91404.01,91404.01000000,91403.00000000,91403.0,10.04579,1767519719999,918221.29817540,558,3.58025000,327246.92238250,0
1767519720000,91403.01,91437.97000000,91403.00000000,91437.97,16.27473,1767519779999,1487791.59286300,2088,14.66205000,1340374.96809920,0
1767519780000,91437.97,91437.97000000,91426.02000000,91426.02,17.23578,1767519839999,1575989.03617200,752,11.51094000,1052525.49306720,0
1767519840000,91426.03,91446.57000000,91410.53000000,91446.57,24.74966,1767519899999,2262850.87753170,2861,21.96021000,2007824.08849640,0
1767519900000,91446.57,91450.69000000,91420.00000000,91432.36,34.91681,1767519959999,3192863.41656520,3847,25.34575000,2317678.87253660,0
1767519960000,91432.35,91452.04000000,91426.14000000,91448.1,33.81781,1767520019999,3092078.72009920,3684,27.06907000,2474996.57647260,0
1767520020000,91448.1,91457.26000000,91448.09000000,91457.26,8.69532,1767520079999,795210.03003360,963,8.37946000,766322.74342940,0
1767520080000,91457.26,91465.10000000,91455.77000000,91455.78,9.04535,1767520139999,827294.77408250,1174,6.40115000,585456.90744890,0
1767520140000,91455.78,91455.78000000,91428.94000000,91428.94,8.86545,1767520199999,810665.44251180,1248,3.60916000,330045.94770160,0
1767520200000,91428.94,91472.96000000,91428.94000000,91471.98,12.21848,1767520259999,1117499.41167210,2367,10.35998000,947531.09755370,0
1767520260000,91471.99,91485.21000000,91457.30000000,91485.2,13.36079,1767520319999,1222061.57775850,1318,11.24731000,1028741.07508230,0
1767520320000,91485.2,91485.21000000,91469.47000000,91469.47,5.85839,1767520379999,535928.48151430,1080,3.88139000,355070.50450700,0
1767520380000,91469.48,91475.89000000,91455.47000000,91455.72,11.45561,1767520439999,1047777.82879200,1214,8.20160000,750127.13272970,0
1767520440000,91455.72,91455.73000000,91380.00000000,91414.19,11.00194,1767520499999,1005567.98026740,3297,6.18049000,564877.09683980,0
1767520500000,91414.19,91466.13000000,91414.18000000,91466.12,8.43899,1767520559999,771619.06979920,2880,5.15404000,471263.87925890,0
1767520560000,91466.13,91471.21000000,91436.43000000,91436.43,13.38644,1767520619999,1224304.79409840,2030,7.20028000,658475.58953660,0
1767520620000,91436.43,91447.91000000,91426.00000000,91447.91,6.01291,1767520679999,549827.78623460,1671,5.73342000,524271.92551210,0
1767520680000,91447.9,91472.85000000,91447.90000000,91472.85,3.87929,1767520739999,354828.83742110,1536,3.51373000,321391.49066760,0
1767520740000,91472.85,91473.35000000,91468.28000000,91468.28,7.91351,1767520799999,723855.01974710,1101,4.43866000,406008.21434570,0
1767520800000,91468.28,91468.29000000,91465.47000000,91465.47,5.75014,1767520859999,525940.40204660,706,4.94529000,452324.33139570,0
1767520860000,91465.48,91508.58000000,91465.47000000,91508.58,19.07194,1767520919999,1744889.31539960,2499,17.18992000,1572688.24856930,0
1767520920000,91508.57,91508.58000000,91436.77000000,91436.77,21.12678,1767520979999,1932434.54824700,3045,4.64229000,424635.46282110,0
1767520980000,91436.77,91486.63000000,91436.77000000,91476.0,30.50399,1767521039999,2790177.16458000,3758,13.95525000,1276356.53284120,0
1767521040000,91476.0,91476.00000000,91442.15000000,91442.15,32.29137,1767521099999,2953487.67784420,3298,5.38215000,492267.30192890,0
1767521100000,91442.16,91457.46000000,91442.15000000,91454.23,23.75924,1767521159999,2172849.67588940,2172,5.03266000,460244.81821720,0
1767521160000,91454.23,91486.63000000,91453.03000000,91486.63,11.80389,1767521219999,1079617.32247170,2385,9.12151000,834301.27458410,0
1767521220000,91486.62,91512.61000000,91486.62000000,91512.61,5.4966,1767521279999,502935.19893320,1644,5.27113000,482303.66988890,0
1767521280000,91512.61,91512.61000000,91512.60000000,91512.6,5.08174,1767521339999,465043.28792260,315,4.79986000,439247.71623460,0
1767521340000,91512.61,91512.61000000,91512.60000000,91512.6,6.9282,1767521399999,634017.63469660,410,3.93766000,360345.54389260,0
1767521400000,91512.61,91541.65000000,91512.60000000,91541.64,8.78732,1767521459999,804238.25040580,2154,8.39986000,768780.51511710,0
1767521460000,91541.65,91550.00000000,91529.64000000,91529.65,15.36588,1767521519999,1406668.28340980,1592,9.70788000,888690.86558350,0
1767521520000,91529.65,91570.00000000,91529.65000000,91546.3,42.09885,1767521579999,3854453.34611270,3790,21.72276000,1988860.39759500,0
